fighter_id,full_name,age,weight_class,fighter_stance,total_fights,wins,losses,avg_total_str_att,avg_sig_str_att,avg_strike_acc,avg_td_att,avg_td_off_pct,avg_td_def_pct,avg_sub_att,avg_str_abs_pct,ko_wins,ko_losses,sub_wins,sub_losses,fighting_style
3416.0,Chris Condo,,Heavyweight,Orthodox,1,0,1,3.0,2.0,0.0,0.0,,0.0,0.0,0.8571428571428571,0,1,0,0,Mixed
3417.0,Carlos Condit,41.0,Welterweight,Orthodox,19,9,10,181.89473684210526,137.26315789473685,0.376040478315578,1.1578947368421053,0.4270833333333333,0.2555555555555556,0.5789473684210527,0.535522399182196,5,1,0,0,Mixed
3418.0,Wes Combs,51.0,Light Heavyweight,Orthodox,2,0,2,24.5,14.5,0.4607843137254902,0.0,,0.0,0.0,0.6545329670329669,0,0,0,0,Mixed
3420.0,Christian Colombo,44.0,Heavyweight,Orthodox,2,0,2,26.5,11.0,0.23214285714285715,0.0,,0.0,0.0,0.6633004926108375,0,0,0,0,Mixed
3421.0,Jake Collier,36.0,Heavyweight,Orthodox,14,5,9,152.42857142857142,139.07142857142858,0.4474428717575611,1.5,0.30333333333333334,0.6481481481481481,0.42857142857142855,0.6138725017968679,1,4,0,0,Mixed
3423.0,Clay Collard,32.0,Featherweight,Orthodox,4,1,3,214.0,192.5,0.31524973302458437,7.0,0.43636363636363634,0.7083333333333334,0.5,0.5556155776618106,0,1,0,0,Mixed
3425.0,Mark Coleman,60.0,Heavyweight,Orthodox,12,7,5,60.916666666666664,36.5,0.6038354625516659,4.166666666666667,0.620515873015873,0.625,0.6666666666666666,0.7304262881727496,3,2,0,0,Wrestler
3431.0,Felipe Colares,31.0,Bantamweight,Orthodox,6,2,4,102.0,70.33333333333333,0.4994597739527274,7.5,0.2654761904761905,0.5380952380952381,0.5,0.7076580901545042,0,1,0,0,Mixed
3433.0,John Cofer,41.0,Lightweight,Southpaw,2,0,2,97.0,80.0,0.4409296861889579,2.0,0.5,0.6515151515151516,0.0,0.4827833968938264,0,1,0,0,Wrestler
3439.0,Brian Cobb,,Lightweight,Orthodox,1,0,1,86.0,13.0,0.0,4.0,0.5,0.0,0.0,0.4418604651162791,0,1,0,0,Wrestler
3440.0,Josh Clopton,43.0,Featherweight,Orthodox,2,0,2,87.0,37.5,0.5390818858560794,3.0,0.6666666666666666,0.8571428571428572,0.0,0.753396143733567,0,0,0,0,Wrestler
3443.0,Chris Clements,49.0,Welterweight,Orthodox,4,2,2,74.5,63.75,0.5370784599944024,0.5,0.0,0.25,0.25,0.7450619721651622,1,1,0,0,Kickboxer
3444.0,Rich Clementi,49.0,Lightweight,Southpaw,10,5,5,82.8,45.9,0.3750476476051413,3.3,0.5104166666666666,0.320578231292517,0.8,0.5079549287605637,0,0,0,0,Wrestler
3445.0,Mitch Clarke,39.0,Lightweight,Orthodox,7,2,5,92.57142857142857,69.71428571428571,0.3257450897217159,2.857142857142857,0.075,0.3666666666666667,0.2857142857142857,0.6298531698937139,0,2,0,0,Mixed
